"No","Category","Item","What was wrong / what it is","Fix / What was built","Why","Files changed","Verified","Status","Screenshot Before","Screenshot After"
"14","Cleanup","Deleted a second, contradictory coupon path","/api/cart/tebex-checkout, /api/cart/tebex-continue and finalizeBasket were still deployed and still applied coupons the Tebex way. Nothing had called them since the PayPal switch.","All three deleted.","Two live code paths disagreeing about how coupons work is exactly the drift that caused this batch.","app/api/cart/tebex-checkout, app/api/cart/tebex-continue, lib/tebex-checkout-flow.ts","grep confirms no caller; tsc clean","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"15","SEO","CRITICAL: every sitemap URL was malformed","Public URLs were built from NEXTAUTH_URL — an authentication variable doing SEO's job. In production it carries a trailing slash and the code appended another, so all 161 sitemap URLs came out as https://www.fivecrux.com//scripts. Every one 308-redirects: Bing and Google were handed 161 redirects instead of 161 pages.","lib/seo.ts is now the single source of truth: one origin, a slash-collapsing canonicalUrl(), and NEXTAUTH_URL explicitly not consulted.","Found by auditing the live site, not reported.","lib/seo.ts, app/sitemap.ts, app/robots.ts, app/layout.tsx","Production sitemap: 161 malformed -> 169 clean, 0 double slashes, sampled URLs all 200","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"16","SEO","CRITICAL: the fallback domain serves nothing","The base URL fell back to https://fivecrux.com — the apex, which resolves to a parking IP and answers nothing over HTTPS. The site only serves on www. Any deploy without NEXTAUTH_URL would have published a sitemap of dead links.","The canonical host is now the one that actually serves, set in code.","Silent: the app cannot see that its own canonical host is unreachable.","lib/seo.ts","Both hostnames probed; report now checks this on every run","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"17","SEO","CRITICAL: Bing was watching a hostname that serves nothing","The verified Bing property was https://fivecrux.com/ — the dead apex. Nothing FiveCrux did could ever show up there. It also had ZERO sitemaps submitted, so Bing had never been handed the catalogue at all.","Added and verified https://www.fivecrux.com/ via Bing's API, and submitted the sitemap. The ownership token is committed in code rather than left to an env var, so verification survives a deploy instead of depending on a dashboard step — which is how the wrong host came to be verified.","Client asked for the Bing account to be connected and used.","lib/seo.ts, app/layout.tsx (msvalidate.01)","Bing API: www property VERIFIED, sitemap Status=Success, 169 urls crawled","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"18","SEO","The sitemap claimed everything changed today","Every static route carried lastModified: new Date(), so the whole file said 'changed today' on every rebuild. A crawler that checks twice learns the field is noise and stops reading it.","Static entries carry a fixed date; listings carry their real updatedAt; category dates track their newest listing.","An honest lastmod is the whole point of the field.","app/sitemap.ts","Verified in the generated sitemap","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"19","SEO","Category pages were missing from the sitemap","The pages most likely to rank for terms like 'fivem maps' were never offered to a crawler.","Added, along with /marketplace. A database failure now returns the static routes rather than nothing.","These are the highest-intent pages on the site.","app/sitemap.ts","Present in the live sitemap","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"20","SEO","robots.txt was letting crawlers waste budget","Only /admin and /api were disallowed, so /profile, /cart and /edit-products were crawlable. No canonical host declared.","Driven by the same NOINDEX_PREFIXES list the app uses, and declares `host` so the apex and www are not read as two sites.","A crawler spending its budget on /cart is not spending it on a listing.","app/robots.ts, lib/seo.ts","Live robots.txt checked","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"21","SEO","No canonical tags, Open Graph or site-level schema","There were no canonical tags anywhere — which, with a live www/apex split, is how duplicate content starts. The only structured data was per-product; nothing tied the brand together as an entity.","Canonical, metadataBase and per-page Open Graph, plus Organization and WebSite JSON-LD with a SearchAction on every page.","metadataBase also stops Next resolving social previews against the Vercel preview alias instead of the real domain.","app/layout.tsx, lib/seo.ts","Live homepage carries canonical, msvalidate.01, og:title, Organization and WebSite","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"22","AI search (AEO)","Nothing told AI assistants what the site is","No llms.txt, no agent instructions. An assistant asked about FiveM assets had nothing to read but the rendered pages.","/llms.txt and /AGENTS.md: what the site is, when to reach for it, when NOT to, the read-only endpoints, and the things to get right (listings belong to creators; quote the listing's own currency; never tell someone they won a giveaway). robots.txt also names eleven AI crawlers explicitly — an opt-in signal, since it grants nothing '*' does not already.","This is how the site gets recommended by an assistant rather than only found by a search engine.","public/llms.txt, public/AGENTS.md, app/robots.ts","Both live and returning 200. AGENTS.md needed a forced add — .gitignore excludes *.md, which would have kept a public asset out of the deploy","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"23","SEO","IndexNow: stop waiting for Bing to come back","Nothing told search engines when something changed. A new marketplace has almost no crawl budget — Bing decides how often to return based on how often it found something new, which is a slow loop from zero.","Key file, submitter and a daily Vercel cron. Sitemap-driven, so there is one list of what is public rather than two.","Fastest available way to get 169 pages looked at.","lib/indexnow.ts, app/api/indexnow/route.ts, vercel.json, public/{key}.txt","Submitted 169 urls live, HTTP 202 accepted","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
"24","SEO","Nothing could measure any of this","Everything above was invisible from the repo: the only way to see whether it landed was to open Bing's dashboard by hand.","lib/bing.ts wraps Bing's Webmaster API, and `npm run seo:report` prints what Bing holds plus what the live site serves — hostnames, files, sitemap health, on-page tags, verification, feeds, traffic. Read-only, and exits non-zero so it can gate a deploy later.","It is what found every SEO item in this batch.","lib/bing.ts, scripts/seo-report.mjs, package.json","Before: 10 problems. After: 0.","Done","N/A (backend/logic change, not visual)","N/A (backend/logic change, not visual)"
